Modelo;Cor;Tam;Códico caixa grade;Descrição modelo;QTD PARES;CAIXA GRADE
4147117;7600;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;7600;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;7600;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;7600;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;7600;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;7600;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;7600;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;7600;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;90;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;90;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;90;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;90;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;90;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;90;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;90;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;90;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;90;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;555;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;555;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;555;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;555;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;555;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;555;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;555;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;555;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;555;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;869;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;869;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;869;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;869;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;869;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;869;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;869;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;869;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;869;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;3847;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;3847;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;3847;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;3847;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;3847;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;3847;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;3847;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;3847;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;3847;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;5778;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;5778;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;5778;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;5778;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;5778;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;5778;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;5778;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;5778;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;5778;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147329;133;290;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
