CATEGORIA;LINHA;FAMILIA;COD_MOD;COD_GRADE;DESC_MOD;COD_COR;DESC_COR;TAMANHO_ID;COLECAO;FABRICA_ORIGEM;NACIONALIDADE;MULTIPLO;EXCLUSIVO;DATA_LANCAMENTO;PRECO_ADULTO;PRECO_INFANTIL;COD_MOD_DE;COD_COR_DE;HERANCA;TIPO_PREVISAO;REDE_S|SE_COMPACTA;REDE_S|SE_QUIOSQUE;REDE_N|NE|CO_COMPACTA;REDE_N|NE|CO_QUIOSQUE;VOLUME_S|SE_FULL|COMPACTA;VOLUME_S|SE_QUIOSQUE;VOLUME_N|NE|CO_FULL|COMPACTA;VOLUME_N|NE|CO_QUIOSQUE;EXPERIENCIA;E-COMMERCE;CONCEPT;MORUMBI;LEBLON;CONCEPT_RIO;IGUATEMI;M0;M2;M3;M4;M39;M80;M81;M82;M83;M84;M85;M67;F0;F2;F80;F81;F82;F83;F84;F69;F70;J1;J2;J3;I0;I80;I81;I82;B0;B2;B80;B81;B82;HF1;F3;HF4;W11;W12;CS1;CS2;CS3;CS4
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;93;BRANCO/AZUL;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;93;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;90;PRETO;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;90;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;324;CINZA;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;324;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;8972;ROSA/AZUL;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;8972;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;2197;AMARELO CITRICO;SA356/456;CARRY OVER;A022;NACIONAL;12;;2021-10-01;119,99;;4145718;8972;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PROJETO ESPECIAL;4146961;-1;SANDALIAS HAVAIANAS TOP TIME BRASIL FC;3847;AZUL ESTRELA;SA334/478;PRÉ VENDA;A022;NACIONAL;12;;;27,08;;0;0;1;DEFAULT;;;;;;;;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;LICENÇA;4148298;7015243;SANDÁLIAS HAVAIANAS TOP SPONGEBOB;74;NOVO GRAFITE;SA234/434;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;17,67;4132920;6509;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;LICENÇA;4148298;7015243;SANDÁLIAS HAVAIANAS TOP SPONGEBOB;1;BRANCO;SA234/434;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;17,67;4132920;6509;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;KIDS/BABY;BOYS LICENSES;4148295;7015224;SANDÁLIAS HAVAIANAS TOP PJ MASKS;2404;AZUL WATER;SA234/356;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;18,74;18,74;4146091;93;2;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;
SANDÁLIAS;KIDS/BABY;BOYS LICENSES;4148295;7015224;SANDÁLIAS HAVAIANAS TOP PJ MASKS;1822;CITRONELA;SA234/356;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;18,74;18,74;4146091;90;2;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;
SANDÁLIAS;KIDS/BABY;BOYS LICENSES;4148295;7015224;SANDÁLIAS HAVAIANAS TOP PJ MASKS;76;ROSA BALLET;SA234/356;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;18,74;18,74;4146091;90;2;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;TOP;4134832;7011072;SANDÁLIAS HAVAIANAS TOP PHOTOPRINT;281;PRETO/PRETO/BRANCO/BRANCO;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;;4000047;1411;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;TOP;4134832;7011072;SANDÁLIAS HAVAIANAS TOP PHOTOPRINT;4747;PRETO/BRANCO/PRETO;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;;4000047;3847;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;SELECTED CHANNELS;4147865;7014759;SANDÁLIAS HAVAIANAS TOP INK;3498;CINZA GELO;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-09-01;29,16;;4103358;9437;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;SELECTED CHANNELS;4147865;7014759;SANDÁLIAS HAVAIANAS TOP INK;212;TURQUESA;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-09-01;29,16;;4103358;9481;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;LICENÇAS;4141765;7011728;SANDÁLIAS HAVAIANAS TOP HERÓIS DC;3537;PRETO/PRETO/ARGILA;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;;4146366;2197;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;LICENÇAS;4141765;7011728;SANDÁLIAS HAVAIANAS TOP HERÓIS DC;3536;MARINHO/MARINHO/VERMELHO;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;;4146366;7611;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
